company,title,link,location,experience,education,employmentType,deadline,sector,createdAt
동안미소한의원,주 5일 동안미소한의원 직원 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49430387&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대전 서구,경력무관,학력무관,정규직,채용시,"사이트관리, 콘텐츠관리, 간호조무사, 한의원, 서비스기획",수정일24/11/19
(주)보다,2024년 검사기술팀 신규채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49555171&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,충북 청주시 흥덕구,경력무관,학력무관,정규직,~ 01/08(수),"공정엔지니어, 기술엔지니어, 기구설계, 장비제어, 전자제어",수정일24/12/12
(주)리트로,대표이사 수행기사 정규직 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49584345&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 강남구,경력무관,학력무관,정규직,~ 01/12(일),"경영지원, 비서, 서무, 수행기사, 수행비서",수정일24/12/13
(주)천일택배,[천일택배] 대구지점 신규채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49562774&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대구 북구,경력무관,초대졸↑,기간제·계약직,~ 02/08(토),"영업관리, 거래처관리, 영업지원, 사무직, 문서작성",수정일24/12/10
(주)에이멘테크,[영업관리] 경리 및 총무 담당자 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49512430&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,서울 영등포구,경력무관,학력무관,정규직,~ 01/01(수),"영업, 영업관리, 거래처관리, 매출관리, 영업직",등록일24/12/02
(주)에이치투커뮤니케이션즈,"행사기획,연출,운영 채용모집(페스티벌, 지역축제 기업행사 등)",https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49217151&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대구 수성구,경력무관,학력무관,정규직,내일마감,"공연기획, 광고디자인, 그래픽디자인, 완구디자인, BI디자인",등록일24/10/17
목포우리신용협동조합,목포우리신협 신규직원채용 모집합니다.,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49489904&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,전남 목포시,경력무관,대졸↑,계약직,~ 12/20(금),"텔러, 신용협동조합",수정일24/12/04
고은약국,약국전산 및 조제보조 채용 모집 - 정규직 채용 모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49494643&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,부산 부산진구,경력,고졸↑,정규직,~ 12/29(일),"약국전산원, 조제보조, 약국, 약국",등록일24/11/29
명지내과의원,임상병리사 채용 모집합니다. (사세확장에 따란 인력충원),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49510561&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,부산 강서구,경력무관,초대졸↑,정규직,~ 01/01(수),"임상병리사, 내과",등록일24/12/02
중부요양병원,중부요양병원 원무행정 채용 모집(경력무관),https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49526725&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,대전 중구,경력무관,초대졸↑,정규직,~ 01/03(금),"원무, 요양병원",수정일24/12/04
제일병리과의원,제일병리과의원 신입 임상병리사 채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49524273&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,부산 수영구,경력무관,초대졸↑,정규직,채용시,"임상병리사, 임상병리",등록일24/12/04
전주W한방병원,전주W한방병원/심야전담간호사(야간병동간호사)채용모집,https://www.saramin.co.kr/zf_user/jobs/relay/view?view_type=search&rec_idx=49559666&location=ts&searchword=%EC%B1%84%EC%9A%A9+%EB%AA%A8%EC%A7%91&searchType=search&paid_fl=n&search_uuid=4f33172e-b529-48ab-bced-b1d5c79e88aa,전북 전주시 완산구,경력무관,학력무관,정규직,~ 01/09(목),"간호사, 한방병원",등록일24/12/10
